"country","product","value"
"afg","0011",30068
"afg","0012",16366
"afg","0111",19273
"afg","0112",893
"afg","0113",350
"afg","0116",1561
"afg","0223",851
"afg","0224",12884
"afg","0230",114673
"afg","0240",67796
"afg","0251",5087
"afg","0341",1804
"afg","0342",2193
"afg","0344",15
"afg","0350",33463
"afg","0360",9013
"afg","0412",8256
"afg","0422",81864
"afg","0440",9278
"afg","0459",8351
"afg","0470",12197
"afg","0481",6801
"afg","0483",10183
"afg","0484",5162
"afg","0488",2308
"afg","0541",246063
"afg","0542",881775
"afg","0544",43465
"afg","0545",502994
"afg","0546",2151
"afg","0548",180093
"afg","0561",5906
"afg","0565",8429
"afg","0571",5281
"afg","0572",600
"afg","0573",405
"afg","0574",370228
"afg","0575",1273845
"afg","0576",870934
"afg","0577",948862
"afg","0579",441269
"afg","0585",3794
"afg","0586",23772
"afg","0589",3628
"afg","0611",443808
"afg","0616",13663
"afg","0620",1760
"afg","0741",32214
"afg","0742",9879
"afg","0751",9836
"afg","0752",187184
"afg","0813",246069
"afg","0819",19930
"afg","0914",55556
"afg","0980",7957
"afg","1110",3663
"afg","1121",18351
"afg","1123",27562
"afg","1124",2785
"afg","1211",8471
"afg","1212",47663
"afg","1213",1705
"afg","1222",45589
"afg","1223",3825
"afg","2111",146083
"afg","2112",15036
"afg","2114",5757
"afg","2116",134105
"afg","2117",64357
"afg","2119",28081
"afg","2120",1586067
"afg","2221",3706
"afg","2223",6600
"afg","2225",20896
"afg","2231",27221
"afg","2238",294069
"afg","2239",2748
"afg","2331",17004
"afg","2460",523
"afg","2471",11119597
"afg","2472",54711
"afg","2482",9458
"afg","2483",23039
"afg","2614",9240
"afg","2631",804832
"afg","2633",47661
"afg","2634",131055
"afg","2651",118766
"afg","2665",19902
"afg","2681",15851
"afg","2682",98603
"afg","2683",3922125
"afg","2687",10718
"afg","2690",1265
"afg","2731",39941
"afg","2732",6846
"afg","2734",5374
"afg","2741",10996
"afg","2782",5430
"afg","2783",2373
"afg","2784",27604
"afg","2789",5852
"afg","2820",561734
"afg","2879",14254
"afg","2881",1573
"afg","2882",190497
"afg","2911",26
"afg","2919",87838
"afg","2922",639333
"afg","2923",8630
"afg","2924",228855
"afg","2925",102870
"afg","2926",2353
"afg","2927",557
"afg","2929",36505
"afg","3330",9589903
"afg","3342",546449
"afg","3345",1415
"afg","3351",76594
"afg","3354",372831
"afg","3413",14438
"afg","3414",8641
"afg","4113",2165
"afg","4233",536
"afg","4234",24682
"afg","4239",90324
"afg","4243",36742
"afg","4249",52
"afg","4311",5350
"afg","5112",12112
"afg","5121",53240
"afg","5122",6508
"afg","5123",8463
"afg","5137",12780
"afg","5139",3140
"afg","5145",8172
"afg","5147",3582
"afg","5148",16750
"afg","5154",237931
"afg","5155",90798
"afg","5156",8890
"afg","5157",12427
"afg","5161",17962
"afg","5162",27173
"afg","5221",13552
"afg","5222",11359
"afg","5224",22614
"afg","5231",3554
"afg","5232",7106
"afg","5233",226
"afg","5239",1087
"afg","5241",756
"afg","5311",8291
"afg","5312",1932
"afg","5322",24367
"afg","5323",18802
"afg","5331",29453
"afg","5332",2130
"afg","5334",1392
"afg","5335",1766
"afg","5413",9825
"afg","5414",5705
"afg","5416",3805
"afg","5417",55211
"afg","5419",27054
"afg","5514",7147
"afg","5530",14665
"afg","5541",12574
"afg","5542",9818
"afg","5543",420
"afg","5622",1074469
"afg","5821",42857
"afg","5823",46585
"afg","5824",7
"afg","5825",1484
"afg","5827",7372
"afg","5829",3204
"afg","5831",21214
"afg","5832",19033
"afg","5833",8335
"afg","5834",49853
"afg","5836",5777
