"country_idx","product_idx","value"
4,0,1
12,0,1
13,0,1
16,0,1
18,0,1
20,0,1
26,0,1
34,0,1
35,0,1
45,0,1
52,0,1
55,0,1
62,0,1
64,0,1
70,0,1
77,0,1
93,0,1
95,0,1
97,0,1
101,0,1
104,0,1
109,0,1
114,0,1
122,0,1
126,0,1
127,0,1
129,0,1
134,0,1
137,0,1
144,0,1
146,0,1
149,0,1
158,0,1
164,0,1
167,0,1
168,0,1
171,0,1
175,0,1
185,0,1
211,0,1
225,0,1
6,1,1
12,1,1
18,1,1
52,1,1
55,1,1
61,1,1
62,1,1
64,1,1
66,1,1
93,1,1
97,1,1
98,1,1
99,1,1
104,1,1
115,1,1
119,1,1
144,1,1
146,1,1
151,1,1
156,1,1
166,1,1
168,1,1
171,1,1
174,1,1
176,1,1
185,1,1
189,1,1
194,1,1
205,1,1
208,1,1
211,1,1
222,1,1
16,2,1
21,2,1
23,2,1
35,2,1
39,2,1
52,2,1
57,2,1
64,2,1
93,2,1
94,2,1
97,2,1
122,2,1
132,2,1
142,2,1
151,2,1
166,2,1
208,2,1
222,2,1
7,3,1
9,3,1
16,3,1
18,3,1
23,3,1
28,3,1
29,3,1
38,3,1
39,3,1
45,3,1
48,3,1
53,3,1
54,3,1
57,3,1
64,3,1
65,3,1
70,3,1
74,3,1
82,3,1
85,3,1
91,3,1
93,3,1
97,3,1
107,3,1
120,3,1
123,3,1
131,3,1
142,3,1
151,3,1
154,3,1
156,3,1
160,3,1
166,3,1
171,3,1
175,3,1
183,3,1
189,3,1
191,3,1
192,3,1
225,3,1
4,4,1
6,4,1
12,4,1
23,4,1
26,4,1
38,4,1
56,4,1
62,4,1
70,4,1
74,4,1
91,4,1
97,4,1
100,4,1
104,4,1
121,4,1
139,4,1
146,4,1
147,4,1
151,4,1
153,4,1
155,4,1
164,4,1
171,4,1
175,4,1
212,4,1
62,5,1
185,5,1
222,5,1
2,6,1
4,6,1
7,6,1
12,6,1
13,6,1
16,6,1
23,6,1
24,6,1
28,6,1
33,6,1
35,6,1
48,6,1
54,6,1
57,6,1
64,6,1
69,6,1
70,6,1
75,6,1
85,6,1
90,6,1
91,6,1
95,6,1
97,6,1
106,6,1
120,6,1
121,6,1
122,6,1
126,6,1
135,6,1
136,6,1
143,6,1
144,6,1
149,6,1
151,6,1
155,6,1
158,6,1
167,6,1
168,6,1
173,6,1
175,6,1
176,6,1
190,6,1
192,6,1
209,6,1
211,6,1
212,6,1
219,6,1
225,6,1
2,7,1
3,7,1
12,7,1
16,7,1
20,7,1
23,7,1
29,7,1
38,7,1
44,7,1
45,7,1
48,7,1
49,7,1
64,7,1
66,7,1
74,7,1
75,7,1
77,7,1
84,7,1
93,7,1
